Price(VND),Acreage,Area,Bedrooms,Floors,Parking,Address,District
6900000000.0,85,"4,2x20m",2,2.0,0,"Đường Quang Trung, Phường Thông Tây Hội, Hồ Chí Minh",Phường Thông Tây Hội
6500000000.0,61,4x15m,4,4.0,1,"Đường Thạnh Xuân 22, Phường Thới An, Hồ Chí Minh",Phường Thới An
1550000000.0,30,"3,3x9m",2,1.0,0,"Đường Thạnh Xuân 46, Phường Thới An, Hồ Chí Minh",Phường Thới An
8600000000.0,232,12x20m,1,1.0,0,"Đường Huỳnh Tấn Phát, Xã Nhà Bè, Hồ Chí Minh",Xã Nhà Bè
67000000000.0,301,17x30m,30,5.0,1,"Đường Võ Thị Sáu, Phường Xuân Hòa, Hồ Chí Minh",Phường Xuân Hòa
41000000000.0,75,"6,5x15m",7,7.0,1,"Đường Đề Thám, Phường Cầu Ông Lãnh, Hồ Chí Minh",Phường Cầu Ông Lãnh
42000000000.0,72,4x19m,12,8.0,1,"Đường Trần Hưng Đạo, Phường Cầu Ông Lãnh, Hồ Chí Minh",Phường Cầu Ông Lãnh
38000000000.0,66,"4,4x16m",7,7.0,1,"Đường Nguyễn Cư Trinh, Phường Cầu Ông Lãnh, Hồ Chí Minh",Phường Cầu Ông Lãnh
34000000000.0,74,"4,1x17,3m",10,6.0,1,"Đường Cô Bắc, Phường Cầu Ông Lãnh, Hồ Chí Minh",Phường Cầu Ông Lãnh
42000000000.0,65,4x16m,5,4.0,1,"Đường Nguyễn Thái Học, Phường Cầu Ông Lãnh, Hồ Chí Minh",Phường Cầu Ông Lãnh
108000000000.0,190,7x20m,33,7.0,1,"Đường Lý Tự Trọng, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
192000000000.0,198,12x18m,8,5.0,1,"Đường Hàm Nghi, Phường Sài Gòn, Hồ Chí Minh",Phường Sài Gòn
78000000000.0,144,"8,2x18m",3,4.0,1,"Đường Cách Mạng Tháng Tám, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
106000000000.0,150,8x18m,5,4.0,1,"Đường Lý Tự Trọng, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
58000000000.0,155,"4,5x22m",12,6.0,1,"Đường Nguyễn Công Trứ, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
105000000000.0,160,8x20m,35,8.0,1,"Đường Phạm Ngũ Lão, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
105000000000.0,155,"5,5x22m",44,12.0,1,"Đường Bùi Thị Xuân, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
210000000000.0,230,"8,5x22m",45,10.0,1,"Đường Bùi Thị Xuân, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
178000000000.0,277,"8,5x25m",5,4.0,1,"Đường Võ Thị Sáu, Phường Xuân Hòa, Hồ Chí Minh",Phường Xuân Hòa
92000000000.0,100,4x20m,33,8.0,1,"Đường Bùi Thị Xuân, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
115000000000.0,230,7x22m,33,9.0,0,"Đường Nam Quốc Cang, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
78000000000.0,233,7x23m,25,7.0,1,"Đường Bùi Thị Xuân, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
100000000000.0,240,8x30m,14,8.0,1,"Đường Lê Văn Duyệt, Phường Gia Định, Hồ Chí Minh",Phường Gia Định
129000000000.0,160,8x18m,35,7.0,1,"Đường Bùi Viện, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
45000000000.0,135,10x18m,7,4.0,1,"Đường Võ Thị Sáu, Phường Tân Định, Hồ Chí Minh",Phường Tân Định
135000000000.0,240,10x28m,18,8.0,1,"Đường Nguyễn Đình Chiểu, Phường Tân Định, Hồ Chí Minh",Phường Tân Định
60000000000.0,136,"6,5x20m",12,7.0,1,"Đường Cao Thắng, Phường Bàn Cờ, Hồ Chí Minh",Phường Bàn Cờ
17000000000.0,87,8x15m,14,5.0,0,"Đường Đề Thám, Phường Cầu Ông Lãnh, Hồ Chí Minh",Phường Cầu Ông Lãnh
4750000000.0,55,"3,5x15m",2,2.0,0,"Đường Nơ Trang Long, Phường Bình Lợi Trung, Hồ Chí Minh",Phường Bình Lợi Trung
41000000000.0,54,"3,9x14m",3,4.0,1,"Đường Nguyễn Trãi, Phường An Đông, Hồ Chí Minh",Phường An Đông
28000000000.0,100,5x20m,15,5.0,0,"Đường Trần Hưng Đạo, Phường Cầu Ông Lãnh, Hồ Chí Minh",Phường Cầu Ông Lãnh
55000000000.0,160,9x20m,3,7.0,0,"Đường Hai Bà Trưng, Phường Tân Định, Hồ Chí Minh",Phường Tân Định
35000000000.0,110,"4,5x25m",6,6.0,1,"Đường Đinh Tiên Hoàng, Phường Tân Định, Hồ Chí Minh",Phường Tân Định
170000000000.0,170,"8,3x20m",40,12.0,1,"Đường Lê Lai, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
35000000000.0,170,12x13m,10,4.0,1,"Đường Nguyễn Bỉnh Khiêm, Phường Tân Định, Hồ Chí Minh",Phường Tân Định
4500000000.0,51,"4,5x12m",3,3.0,0,"Đường Thạnh Lộc 51, Phường An Phú Đông, Hồ Chí Minh",Phường An Phú Đông
5300000000.0,66,"4x16,5m",2,2.0,1,"Đường Thạnh Lộc 29, Phường An Phú Đông, Hồ Chí Minh",Phường An Phú Đông
79000000000.0,160,9x18m,2,5.0,0,"Đường Cách Mạng Tháng Tám, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
52000000000.0,160,8x20m,5,4.0,0,"Đường Nguyễn Văn Thủ, Phường Tân Định, Hồ Chí Minh",Phường Tân Định
36000000000.0,160,8x20m,2,7.0,0,"Đường Trường Sơn, Phường Tân Sơn Hòa, Hồ Chí Minh",Phường Tân Sơn Hòa
79000000000.0,160,"8,2x20m",5,3.0,1,"Đường Cách Mạng Tháng Tám, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
19000000000.0,108,6x18m,10,7.0,0,"Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Hồ Chí Minh",Phường Phú Thọ Hòa
79000000000.0,480,12x40m,1,1.0,0,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Hồ Chí Minh",Phường Tây Thạnh
5780000000.0,50,"3,5x18m",3,3.0,0,"Đường Tô Ký, Phường Trung Mỹ Tây, Hồ Chí Minh",Phường Trung Mỹ Tây
11000000000.0,61,4x15m,5,4.0,1,"Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Hồ Chí Minh",Phường Tân Sơn Nhì
8300000000.0,138,"4,2x33m",13,5.0,1,"Đường Thạnh Xuân 24, Phường Thới An, Hồ Chí Minh",Phường Thới An
25000000000.0,102,7x18m,24,7.0,0,"Đường Hai Bà Trưng, Phường Tân Định, Hồ Chí Minh",Phường Tân Định
26000000000.0,175,6x30m,3,2.0,1,"Đường Văn Chung, Phường Tân Bình, Hồ Chí Minh",Phường Tân Bình
40000000000.0,350,12x32m,3,2.0,1,"Đường Nguyễn Thái Bình, Phường Bảy Hiền, Hồ Chí Minh",Phường Bảy Hiền
13500000000.0,55,"4,2x15m",4,4.0,1,"Đường Thân Nhân Trung, Phường Tân Bình, Hồ Chí Minh",Phường Tân Bình
42000000000.0,172,"8,2x21m",0,7.0,0,"Đường Nguyễn Gia Trí, Phường Thạnh Mỹ Tây, Hồ Chí Minh",Phường Thạnh Mỹ Tây
23000000000.0,110,5x22m,5,4.0,1,"Đường Cách Mạng Tháng Tám, Phường Tân Sơn Nhất, Hồ Chí Minh",Phường Tân Sơn Nhất
24500000000.0,132,5x27m,8,6.0,1,"Đường Ca Văn Thỉnh, Phường Bảy Hiền, Hồ Chí Minh",Phường Bảy Hiền
150000000000.0,169,11x15m,15,10.0,1,"Đường Nguyễn Văn Trỗi, Phường Tân Sơn Hòa, Hồ Chí Minh",Phường Tân Sơn Hòa
31500000000.0,115,"4,2x27m",8,5.0,1,"Đường Bạch Đằng, Phường Gia Định, Hồ Chí Minh",Phường Gia Định
36000000000.0,160,8x21m,28,7.0,0,"Đường Thăng Long, Phường Tân Sơn Nhất, Hồ Chí Minh",Phường Tân Sơn Nhất
51000000000.0,197,9x27m,40,8.0,0,"Đường Hồng Hà, Phường Tân Sơn Hòa, Hồ Chí Minh",Phường Tân Sơn Hòa
46000000000.0,179,8x25m,22,5.0,0,"Đường Lê Văn Sỹ, Phường Phú Nhuận, Hồ Chí Minh",Phường Phú Nhuận
45000000000.0,68,4x17m,20,4.0,0,"Đường Trương Định, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
4500000000.0,67,"5,4x12,7m",2,2.0,1,"Đường số 9, Phường Linh Xuân, Hồ Chí Minh",Phường Linh Xuân
